Time [s],SW,BUZ
8.578864500,1,1
8.578999438,1,0
8.579199188,1,1
8.579334125,1,0
8.579533812,1,1
8.579668750,1,0
8.579868500,1,1
8.580003438,1,0
8.580203125,1,1
8.580338000,1,0
8.580537750,1,1
8.580672687,1,0
8.580872438,1,1
8.581007250,1,0
8.581207063,1,1
8.581342000,1,0
8.581541750,1,1
8.581676625,1,0
8.581876375,1,1
8.582011187,1,0
8.582211000,1,1
8.582346000,1,0
8.582545687,1,1
8.582680563,1,0
8.582880312,1,1
8.583015250,1,0
8.583215000,1,1
8.583349937,1,0
8.583549625,1,1
8.583684563,1,0
8.583884250,1,1
8.584019188,1,0
8.584218937,1,1
8.584353875,1,0
8.584553563,1,1
8.584688500,1,0
8.584888250,1,1
8.585023187,1,0
8.585222875,1,1
8.585357812,1,0
8.585557500,1,1
8.585692500,1,0
8.585892188,1,1
8.586027125,1,0
8.586226812,1,1
8.586361750,1,0
8.586561500,1,1
8.586696438,1,0
8.586896125,1,1
8.587031062,1,0
8.587230750,1,1
8.587365750,1,0
8.587565438,1,1
8.587700375,1,0
8.587900062,1,1
8.588035000,1,0
8.588234750,1,1
8.588369688,1,0
8.588569375,1,1
8.588704313,1,0
8.588904062,1,1
8.589038937,1,0
8.589238687,1,1
8.589373625,1,0
8.589573313,1,1
8.589708250,1,0
8.589908000,1,1
8.590042875,1,0
8.590242625,1,1
8.590377563,1,0
8.590577313,1,1
8.590712187,1,0
8.590911937,1,1
8.591046875,1,0
8.591246563,1,1
8.591381500,1,0
8.591581250,1,1
8.591716187,1,0
8.591915875,1,1
8.592050813,1,0
8.592250563,1,1
8.592385438,1,0
8.592585187,1,1
8.592720125,1,0
8.592919812,1,1
8.593054750,1,0
8.593254500,1,1
8.593389438,1,0
8.593589125,1,1
8.593724062,1,0
8.593923812,1,1
8.594058688,1,0
8.594258438,1,1
8.594393375,1,0
8.594593062,1,1
8.594728000,1,0
8.594927750,1,1
8.595062688,1,0
8.595262375,1,1
8.595397312,1,0
8.595597062,1,1
8.595732000,1,0
8.595931688,1,1
8.596066625,1,0
8.596266312,1,1
8.596401250,1,0
8.596601000,1,1
8.596735938,1,0
8.596935625,1,1
8.597070563,1,0
8.597270312,1,1
8.597405250,1,0
8.597604937,1,1
8.597739875,1,0
8.597939625,1,1
8.598074500,1,0
8.598274250,1,1
8.598409187,1,0
8.598608875,1,1
8.598743813,1,0
8.598943563,1,1
8.599078500,1,0
8.599278187,1,1
8.599413125,1,0
8.599612875,1,1
8.599747750,1,0
8.599947500,1,1
8.600082437,1,0
8.600282125,1,1
8.600417063,1,0
8.600616813,1,1
8.600751750,1,0
8.600951437,1,1
8.601086375,1,0
8.601286125,1,1
8.601421000,1,0
8.601620750,1,1
8.601755688,1,0
8.601955375,1,1
8.602090312,1,0
8.602290062,1,1
8.602425000,1,0
8.602624688,1,1
10.045661125,0,1
10.046036000,0,0
10.046209062,0,1
10.046343937,0,0
10.046517062,0,1
10.046651938,0,0
10.046825062,0,1
10.046959938,0,0
10.047133000,0,1
10.047267937,0,0
10.047441000,0,1
10.047575875,0,0
10.047749000,0,1
10.047883875,0,0
10.048057000,0,1
10.048191875,0,0
10.048364938,0,1
10.048499875,0,0
10.048672937,0,1
10.048807812,0,0
10.048980937,0,1
10.049115813,0,0
10.049288938,0,1
10.049423813,0,0
10.049596875,0,1
10.049731812,0,0
10.049904875,0,1
10.050039812,0,0
10.050212875,0,1
10.050347750,0,0
10.050520875,0,1
10.050655750,0,0
10.050828875,0,1
10.050963750,0,0
10.051136812,0,1
10.051271750,0,0
10.051444812,0,1
10.051579750,0,0
10.051752813,0,1
10.051887688,0,0
10.052060813,0,1
10.052195687,0,0
10.052368750,0,1
10.052503687,0,0
10.052676750,0,1
10.052811688,0,0
10.052984750,0,1
10.053119625,0,0
10.053292750,0,1
10.053427625,0,0
10.053600687,0,1
10.053735625,0,0
10.053908687,0,1
10.054043625,0,0
10.054216688,0,1
10.054351563,0,0
10.054524688,0,1
10.054659562,0,0
10.054832625,0,1
10.054967562,0,0
10.055140625,0,1
10.055275500,0,0
10.055448625,0,1
10.055583500,0,0
10.055756625,0,1
10.055891500,0,0
10.056064562,0,1
10.056199500,0,0
10.056372563,0,1
10.056507500,0,0
10.056680563,0,1
10.056815437,0,0
10.056988563,0,1
10.057123437,0,0
10.057296562,0,1
10.057431438,0,0
10.057604500,0,1
10.057739438,0,0
10.057912500,0,1
10.058047375,0,0
10.058220500,0,1
10.058355375,0,0
10.058528500,0,1
10.058663375,0,0
10.058836438,0,1
10.058971375,0,0
10.059144438,0,1
10.059279312,0,0
10.059452438,0,1
10.059587312,0,0
10.059760437,0,1
10.059895313,0,0
10.060068375,0,1
10.060203313,0,0
10.060376375,0,1
10.060511250,0,0
10.060684375,0,1
10.060819250,0,0
10.060992375,0,1
10.061127250,0,0
10.061300313,0,1
10.061435250,0,0
10.061608313,0,1
10.061743187,0,0
10.061916312,0,1
10.062051187,0,0
10.062224312,0,1
10.062359188,0,0
10.062532250,0,1
10.062667188,0,0
10.062840250,0,1
10.062975187,0,0
10.063148250,0,1
10.063283125,0,0
10.063456250,0,1
10.063591125,0,0
10.063764188,0,1
10.063899125,0,0
10.064072188,0,1
10.064207125,0,0
10.064380187,0,1
10.064515062,0,0
10.064688187,0,1
10.064823063,0,0
10.064996188,0,1
10.065131063,0,0
10.065304125,0,1
10.065439062,0,0
10.065612125,0,1
10.065747000,0,0
10.065920125,0,1
10.066055000,0,0
10.066228125,0,1
10.066363000,0,0
10.066536063,0,1
10.066671000,0,0
10.066844062,0,1
10.066978938,0,0
10.067152062,0,1
10.067286938,0,0
10.067460063,0,1
10.067594938,0,0
10.067768000,0,1
10.067902937,0,0
10.068076000,0,1
10.068210937,0,0
10.068384000,0,1
10.068518875,0,0
10.068692000,0,1
10.068826875,0,0
10.068999937,0,1
10.069134875,0,0
10.069307937,0,1
10.069442813,0,0
10.069615938,0,1
10.069750813,0,0
10.069923938,0,1
10.070058812,0,0
10.070231875,0,1
10.070366812,0,0
10.070539875,0,1
10.070674688,0,0
10.070847875,0,1
10.070982750,0,0
10.071155875,0,1
10.071290750,0,0
10.071463875,0,1
10.071598750,0,0
10.071771812,0,1
10.071906688,0,0
10.072079813,0,1
10.072214750,0,0
10.072387813,0,1
10.072522687,0,0
10.072695812,0,1
10.072830687,0,0
10.073003750,0,1
10.073138688,0,0
10.073311750,0,1
10.073446625,0,0
10.073619750,0,1
10.073754625,0,0
10.073927750,0,1
10.074062625,0,0
10.074235687,0,1
10.074370625,0,0
10.074543688,0,1
10.074678563,0,0
10.074851688,0,1
10.074986562,0,0
10.075159687,0,1
10.075294562,0,0
10.075467625,0,1
10.075602563,0,0
10.075775625,0,1
10.075910563,0,0
10.076083625,0,1
10.076218500,0,0
10.076391625,0,1
10.076526500,0,0
10.076699562,0,1
10.076834500,0,0
10.077007563,0,1
10.077142500,0,0
10.077315563,0,1
10.077450437,0,0
10.077623562,0,1
10.077758437,0,0
10.077931562,0,1
10.078066438,0,0
10.078239500,0,1
10.078374438,0,0
10.078547500,0,1
10.078682375,0,0
10.078855500,0,1
10.078990375,0,0
10.079163500,0,1
10.079298375,0,0
10.079471438,0,1
10.079606375,0,0
10.079779437,0,1
10.079914312,0,0
10.080087437,0,1
10.080222313,0,0
10.080395437,0,1
10.080530313,0,0
10.080703375,0,1
10.080838312,0,0
10.081011375,0,1
10.081146250,0,0
10.081319375,0,1
10.081454250,0,0
10.081627375,0,1
10.081762250,0,0
10.081935313,0,1
10.082070313,0,0
10.082243312,0,1
10.082378250,0,0
10.082551312,0,1
10.082686250,0,0
10.082859313,0,1
10.082994188,0,0
10.083167250,0,1
10.083302187,0,0
10.083475250,0,1
10.083610187,0,0
10.083783250,0,1
10.083918125,0,0
10.084091250,0,1
10.084226125,0,0
10.084399188,0,1
10.084534125,0,0
10.084707187,0,1
10.084842125,0,0
10.085015187,0,1
10.085150063,0,0
10.085323188,0,1
10.085458062,0,0
10.085631188,0,1
10.085766062,0,0
10.085939125,0,1
10.086074062,0,0
10.086247125,0,1
10.086382000,0,0
10.086555125,0,1
10.086690000,0,0
10.086863125,0,1
10.086998000,0,0
10.087171062,0,1
10.087306000,0,0
10.087479062,0,1
10.087613938,0,0
10.087787063,0,1
10.087921938,0,0
10.088095063,0,1
10.088229937,0,0
10.088403000,0,1
10.088537937,0,0
10.088711000,0,1
10.088845875,0,0
10.089019000,0,1
10.089153875,0,0
10.089327000,0,1
10.089461875,0,0
10.089634937,0,1
10.089769875,0,0
10.089942938,0,1
10.090077813,0,0
10.090250938,0,1
10.090385812,0,0
10.090558938,0,1
10.090693812,0,0
10.090866875,0,1
10.091001813,0,0
10.091174875,0,1
10.091309813,0,0
10.091482875,0,1
10.091617750,0,0
10.091790875,0,1
10.091925750,0,0
10.092098875,0,1
10.092233750,0,0
10.092406813,0,1
10.092541750,0,0
10.092714813,0,1
10.092849687,0,0
10.093022812,0,1
10.093157687,0,0
10.093330812,0,1
10.093465688,0,0
10.093638750,0,1
10.093773688,0,0
10.093946750,0,1
10.094081625,0,0
10.094254750,0,1
10.094389625,0,0
10.094562750,0,1
10.094697625,0,0
10.094870688,0,1
10.095005625,0,0
10.095178687,0,1
10.095313562,0,0
10.095486687,0,1
10.095621562,0,0
10.095794687,0,1
10.095929563,0,0
10.096102625,0,1
10.096237563,0,0
10.096410625,0,1
10.096545562,0,0
10.096718625,0,1
10.096853500,0,0
10.097026625,0,1
10.097161500,0,0
10.097334563,0,1
10.097469500,0,0
10.097642563,0,1
10.097777500,0,0
10.097950562,0,1
10.098085437,0,0
10.098258562,0,1
10.098393438,0,0
10.098566563,0,1
10.098701438,0,0
10.098874500,0,1
10.099009437,0,0
10.099182500,0,1
10.099317375,0,0
10.099490500,0,1
10.099625375,0,0
10.099798500,0,1
10.099933375,0,0
10.100106437,0,1
10.100241375,0,0
10.100414437,0,1
10.100549313,0,0
10.100722437,0,1
10.100857313,0,0
10.101030438,0,1
10.101165312,0,0
10.101338375,0,1
10.101473312,0,0
10.101646375,0,1
10.101781250,0,0
10.101954375,0,1
10.102089313,0,0
10.102262375,0,1
10.102397313,0,0
10.102570312,0,1
10.102705250,0,0
10.102878312,0,1
10.103013250,0,0
10.103186313,0,1
10.103321188,0,0
10.103494313,0,1
10.103629187,0,0
10.103802250,0,1
10.103937187,0,0
10.104110250,0,1
10.104245188,0,0
10.104418250,0,1
10.104553125,0,0
10.104726250,0,1
10.104861125,0,0
10.105034187,0,1
10.105169125,0,0
10.105342187,0,1
10.105477125,0,0
10.105650188,0,1
10.105785063,0,0
10.105958188,0,1
10.106093062,0,0
10.106266187,0,1
10.106401062,0,0
10.106574125,0,1
10.106709063,0,0
10.106882125,0,1
10.107017000,0,0
10.107190125,0,1
10.107325000,0,0
10.107498125,0,1
10.107633000,0,0
10.107806062,0,1
