MID,LEFT,RIGHT
3367,2989,2715
3371,2994,2716
3377,2999,2716
3377,3013,2716
3378,3020,2718
3378,3025,2710
3376,3022,2712
3374,3019,2716
3368,3017,2721
3359,3016,2723
3356,3017,2726
3350,3006,2729
3348,2999,2730
3343,2997,2733
3340,2994,2734
3339,2998,2729
3338,3001,2731
3339,3002,2732
3341,3000,2734
3340,2998,2734
3348,2995,2734
3351,2990,2733
3353,2981,2730
3355,2980,2725
3357,2974,2717
3363,2971,2709
3365,2965,2700
3369,2962,2692
3372,2962,2690
3368,2957,2678
3368,2953,2673
3361,2948,2671
3357,2941,2670
3350,2945,2670
3346,2947,2673
3338,2950,2676
3339,2955,2682
3339,2956,2681
3338,2957,2680
3336,2956,2677
3340,2957,2673
3343,2955,2670
3349,2955,2666
3349,2953,2665
3353,2948,2662
3359,2946,2658
3362,2941,2654
3366,2940,2648
3367,2940,2644
3363,2939,2641
3363,2937,2640
3359,2931,2642
3356,2924,2646
3353,2925,2656
3350,2923,2666
3349,2921,2676
3344,2917,2689
3342,2913,2694
3339,2912,2700
3334,2908,2705
3337,2909,2707
3334,2904,2704
3333,2898,2696
3335,2898,2684
3336,2896,2670
3344,2894,2655
3345,2892,2642
3353,2891,2632
3354,2889,2619
3353,2886,2608
3359,2885,2596
3359,2885,2593
3358,2881,2593
3359,2878,2592
3360,2876,2593
3362,2873,2594
3359,2877,2596
3359,2877,2598
3358,2881,2599
3357,2882,2598
3357,2882,2609
3357,2878,2615
3351,2872,2615
3344,2870,2616
3335,2866,2614
3331,2861,2610
3325,2859,2605
3324,2848,2593
3324,2851,2585
3320,2846,2576
3322,2847,2569
3323,2846,2569
3322,2845,2567
3325,2849,2568
3322,2849,2570
3323,2851,2574
3315,2855,2584
3314,2858,2591
3314,2857,2596
3314,2850,2595
3320,2842,2590
3323,2837,2582
3326,2831,2575
3331,2833,2569
3331,2834,2562
3336,2834,2549
3330,2834,2542
3333,2829,2536
3332,2831,2534
3329,2826,2534
3333,2825,2537
3338,2824,2541
3334,2821,2538
3339,2824,2536
3339,2821,2532
3343,2820,2529
3337,2823,2530
3331,2817,2518
3326,2819,2511
3318,2813,2508
3314,2812,2506
3311,2810,2507
3307,2806,2505
3307,2805,2506
3303,2800,2508
3308,2800,2507
3305,2803,2506
3304,2804,2501
3302,2810,2496
3296,2803,2492
3296,2802,2489
3291,2801,2491
3284,2800,2486
3282,2803,2484
3276,2805,2481
3273,2805,2480
3264,2809,2482
3260,2812,2481
3260,2818,2479
3258,2816,2477
3263,2818,2474
3265,2820,2476
3263,2817,2477
3267,2815,2487
3269,2812,2489
3278,2805,2494
3273,2804,2498
3275,2801,2492
3275,2805,2483
3271,2800,2474
3272,2801,2466
3265,2802,2462
3256,2799,2453
3253,2800,2453
3248,2801,2457
3250,2801,2459
3244,2804,2462
3241,2802,2464
3241,2807,2465
3240,2805,2468
3245,2807,2472
3247,2811,2482
3247,2814,2477
3252,2822,2475
3253,2824,2470
3258,2822,2465
3250,2825,2463
3246,2826,2464
3244,2830,2463
3241,2827,2465
3242,2825,2465
3240,2822,2466
3232,2817,2459
3231,2820,2456
3227,2823,2453
3234,2823,2447
3226,2830,2449
3220,2831,2451
3214,2837,2451
3206,2833,2451
3202,2833,2449
3199,2834,2454
3197,2835,2453
3203,2840,2460
3207,2843,2466
3217,2844,2473
3216,2851,2482
3222,2851,2483
3224,2857,2491
3228,2851,2497
3232,2851,2501
3228,2849,2505
3219,2846,2502
3219,2845,2503
3215,2845,2495
3217,2839,2493
3211,2840,2485
3207,2839,2478
3203,2846,2472
3197,2842,2469
3198,2845,2476
3198,2846,2478
3194,2848,2477
3198,2853,2480
3196,2854,2480
3203,2853,2482
3194,2856,2482
3195,2858,2482
3194,2868,2481
3197,2867,2480
3202,2873,2477
3204,2877,2482
3201,2881,2485
3205,2888,2490
3208,2893,2494
3214,2895,2497
3203,2904,2500
3198,2907,2499
3191,2913,2504
3183,2905,2508
3177,2899,2510
3180,2894,2515
3176,2887,2510
3179,2887,2509
3180,2888,2509
3189,2882,2506
3181,2892,2506
3183,2894,2501
3185,2903,2498
3184,2899,2494
3188,2898,2491
3189,2898,2497
3184,2891,2486
3188,2891,2487
3186,2890,2492
3190,2889,2498
3179,2893,2510
3175,2894,2519
3171,2902,2524
3170,2900,2529
3170,2904,2529
3167,2909,2528
3158,2914,2517
3163,2923,2509
3164,2929,2504
3172,2930,2499
3169,2937,2499
3169,2940,2499
3167,2948,2499
3165,2944,2502
3166,2946,2501
3167,2946,2503
3162,2946,2502
3163,2947,2509
3161,2943,2518
3164,2938,2525
3156,2943,2528
3154,2947,2526
3152,2953,2524
3150,2950,2523
3151,2950,2520
3150,2950,2522
3146,2947,2517
3151,2947,2521
3147,2944,2517
3152,2940,2520
3147,2944,2524
3147,2944,2531
3148,2955,2536
3149,2958,2543
3149,2963,2546
3151,2966,2551
3144,2967,2549
3148,2969,2554
3148,2970,2560
3155,2966,2565
3150,2968,2574
3149,2962,2570
3146,2964,2570
3147,2958,2573
3151,2958,2576
3155,2956,2577
3154,2953,2569
3162,2952,2567
3161,2950,2550
3162,2944,2545
3153,2947,2540
3146,2948,2534
3139,2953,2526
3133,2948,2522
3134,2948,2518
3132,2949,2523
3129,2945,2523
3136,2943,2526
3138,2939,2529
3146,2935,2531
3147,2938,2534
3152,2936,2536
3157,2937,2541
3162,2930,2546
3167,2929,2547
3171,2936,2551
3169,2942,2551
3176,2953,2555
3174,2955,2558
3184,2957,2563
3180,2961,2568
3181,2965,2571
3181,2975,2571
3178,2977,2568
3172,2980,2566
3169,2980,2563
3161,2978,2555
3162,2980,2548
3159,2985,2543
3162,2989,2542
3156,2999,2539
3152,3003,2549
3152,3009,2550
3154,3006,2553
3161,3009,2551
3167,3012,2550
3170,3015,2549
3180,3018,2552
3190,3014,2548
3196,3005,2547
3199,3006,2548
3204,3004,2550
3207,3007,2549
3205,3006,2554
3206,3004,2555
3206,2998,2561
3203,2995,2560
3205,2994,2562
3203,2995,2562
3202,2996,2564
3194,3002,2566
3190,3004,2569
3183,3009,2572
3179,3009,2578
3178,3013,2584
3180,3020,2588
3183,3023,2590
3193,3029,2587
3199,3033,2583
3206,3034,2578
3212,3040,2576
3218,3044,2577
3221,3047,2579
3225,3045,2584
3230,3044,2583
3233,3044,2588
3237,3048,2591
3245,3054,2598
3248,3059,2607
3246,3057,2614
3242,3062,2620
3232,3060,2624
3231,3064,2624
3224,3064,2624
3218,3066,2621
3209,3069,2620
3201,3071,2614
3207,3074,2611
3205,3075,2606
3217,3074,2600
3224,3077,2596
3231,3077,2591
3240,3082,2590
3249,3086,2597
3261,3093,2596
3262,3099,2597
3261,3103,2597
3267,3109,2598
3269,3112,2601
3272,3110,2601
3275,3115,2608
3278,3114,2614
3283,3114,2620
3283,3113,2628
3284,3115,2637
3282,3123,2641
3275,3123,2643
3275,3127,2641
3271,3131,2638
3267,3130,2631
3264,3137,2628
3261,3139,2631
3260,3145,2634
3258,3142,2639
3258,3142,2638
3261,3144,2636
3264,3144,2634
3277,3146,2630
3288,3146,2632
3294,3140,2629
3305,3143,2627
3311,3145,2625
3319,3144,2625
3322,3145,2631
3326,3147,2636
3327,3153,2646
3323,3153,2645
3325,3158,2649
3323,3161,2654
3323,3159,2657
3326,3163,2662
3325,3162,2663
3327,3161,2661
3327,3157,2660
3320,3150,2658
3317,3149,2654
3311,3146,2649
3314,3148,2647
3312,3150,2651
3309,3144,2642
3311,3142,2641
3311,3140,2639
3313,3142,2637
3311,3144,2636
3313,3142,2637
3322,3144,2639
3319,3140,2643
3327,3144,2651
3331,3149,2659
3332,3149,2662
3338,3152,2665
3340,3145,2668
3345,3136,2658
3343,3130,2652
3343,3128,2645
3342,3131,2634
3338,3133,2625
3337,3130,2617
3339,3127,2613
3337,3122,2608
3340,3124,2608
3337,3122,2612
3339,3121,2611
3334,3121,2621
3337,3121,2627
3340,3127,2635
3343,3134,2643
3351,3142,2649
3358,3150,2653
3364,3151,2655
3376,3154,2650
3378,3152,2650
3383,3152,2649
3381,3155,2649
3379,3158,2648
3376,3163,2647
